157d,24,157D,1994
165d,18,165D,1994
1a34,20,1A34,1998
1a9n,48,1A9N,1998
1apg,2,1APG,1994
1aq3,28,1AQ3,1997
1aq4,30,1AQ4,1997
1asy,150,1ASY,1995
1asz,152,1ASZ,1995
1av6,8,1AV6,1998
1b23,75,1B23,1998
1b2m,6,1B2M,1999
1b7f,24,1B7F,1999
1bmv,11,1BMV,1989
1br3,41,1BR3,1999
1c0a,79,1C0A,1999
1c9s,55,1C9S,1999
1cgm,3,1CGM,1994
1csl,28,1CSL,2000
1cvj,67,1CVJ,1999
1cwp,10,1CWP,1995
1cx0,72,1CX0,1999
1d4r,84,1D4R,1999
1ddl,9,1DDL,2000
1ddy,140,1DDY,2000
1dfu,38,1DFU,1999
1di2,40,1DI2,1999
1dk1,57,1DK1,2000
1dqf,19,1DQF,2000
1dqh,19,1DQH,2000
1drz,72,1DRZ,1999
1duh,45,1DUH,2000
1dul,49,1DUL,2000
1duq,104,1DUQ,2000
1e7k,34,1E7K,2001
1e8o,50,1E8O,2000
1ec6,40,1EC6,2000
1efo,19,1EFO,2000
1efw,146,1EFW,2000
1egk,108,1EGK,2000
1ehz,76,1EHZ,2000
1eiy,76,1EIY,2000
1eqq,4,1EQQ,2003
1et4,175,1ET4,2000
1euq,73,1EUQ,2000
1euy,74,1EUY,2000
1evv,76,1EVV,2000
1exd,74,1EXD,2000
1f1t,38,1F1T,2000
1f27,30,1F27,2000
1f7u,76,1F7U,2001
1f7v,73,1F7V,2001
1f7y,57,1F7Y,2000
1f8v,25,1F8V,2000
1feu,80,1FEU,2001
1ffk,2828,1FFK,2000
1ffy,75,1FFY,2000
1ffz,500,1FFZ,2000
1fg0,499,1FG0,2000
1fir,76,1FIR,2001
1fix,20,1FIX,1996
1fjg,1513,1FJG,2000
1fka,1174,1FKA,2000
1fuf,28,1FUF,2001
1fxl,8,1FXL,2001
1g1x,169,1G1X,2000
1g2e,9,1G2E,2001
1g2j,7,1G2J,2000
1g4q,20,1G4Q,2003
1g59,150,1G59,2001
1gax,152,1GAX,2000
1gid,316,1GID,1996
1gsg,0,1GSG,1990
1gtf,44,1GTF,2002
1gtn,44,1GTN,2002
1gtr,75,1GTR,1995
1gts,75,1GTS,1995
1h2c,3,1H2C,2003
1h2d,6,1H2D,2003
1h38,137,1H38,2002
1h3e,82,1H3E,2002
1h4q,69,1H4Q,2001
1h4s,69,1H4S,2001
1hc8,116,1HC8,2002
1hmh,141,1HMH,1995
1hnw,1513,1HNW,2001
1hnx,1513,1HNX,2001
1hnz,1513,1HNZ,2001
1hq1,49,1HQ1,2001
1hr0,1513,1HR0,2001
1hr2,315,1HR2,2001
1hys,45,1HYS,2001
1i5l,10,1I5L,2001
1i6h,22,1I6H,2001
1i6u,74,1I6U,2001
1i7j,12,1I7J,2001
1i94,1514,1I94,2001
1i9v,75,1I9V,2001
1i9x,26,1I9X,2001
1ibk,1512,1IBK,2001
1ibl,1532,1IBL,2001
1ibm,1528,1IBM,2001
1ik5,28,1IK5,2001
1il2,147,1IL2,2001
1ivs,152,1IVS,2003
1j1u,74,1J1U,2003
1j2b,148,1J2B,2003
1j5a,2774,1J5A,2002
1j5e,1513,1J5E,2002
1j6s,23,1J6S,2003
1j7t,42,1J7T,2002
1j8g,24,1J8G,2001
1j9h,36,1J9H,2001
1jb8,20,1JB8,2003
1jbr,62,1JBR,2001
1jbs,58,1JBS,2001
1jbt,58,1JBT,2001
1jid,29,1JID,2001
1jj2,2876,1JJ2,2001
1jzv,34,1JZV,2003
1jzx,2774,1JZX,2001
1jzy,2774,1JZY,2001
1k01,2774,1K01,2001
1k73,2876,1K73,2003
1k8a,2876,1K8A,2002
1k8w,22,1K8W,2001
1k9m,2876,1K9M,2002
1k9w,92,1K9W,2001
1kc8,2878,1KC8,2003
1kd1,2876,1KD1,2002
1kd3,22,1KD3,2003
1kd4,22,1KD4,2003
1kd5,22,1KD5,2003
1kfo,19,1KFO,2001
1kh6,48,1KH6,2002
1knz,20,1KNZ,2002
1kog,304,1KOG,2002
1kq2,7,1KQ2,2002
1kqs,2882,1KQS,2002
1kuq,57,1KUQ,2003
1kxk,70,1KXK,2002
1l2x,28,1L2X,2002
1l3d,28,1L3D,2002
1l3z,14,1L3Z,2003
1l8v,314,1L8V,2002
1l9a,126,1L9A,2002
1laj,3,1LAJ,2002
1lc4,42,1LC4,2003
1lng,97,1LNG,2002
1lnt,24,1LNT,2003
1m1k,2876,1M1K,2002
1m5k,226,1M5K,2002
1m5o,226,1M5O,2002
1m5p,226,1M5P,2002
1m5v,226,1M5V,2002
1m8v,55,1M8V,2003
1m8w,15,1M8W,2002
1m8x,15,1M8X,2002
1m8y,20,1M8Y,2002
1m90,2879,1M90,2002
1mdg,6,1MDG,2003
1mfq,128,1MFQ,2002
1mhk,26,1MHK,2002
1mji,68,1MJI,2003
1mme,82,1MME,1996
1mms,116,1MMS,2000
1msw,47,1MSW,2002
1msy,27,1MSY,2003
1mwl,42,1MWL,2003
1mzp,55,1MZP,2003
1n1h,8,1N1H,2002
1n32,1532,1N32,2002
1n33,1528,1N33,2002
1n35,16,1N35,2002
1n38,10,1N38,2002
1n77,152,1N77,2003
1n78,152,1N78,2003
1n8r,2876,1N8R,2003
1nb7,8,1NB7,2003
1nbs,270,1NBS,2003
1nji,2876,1NJI,2003
1njp,2791,1NJP,2003
1nkw,2884,1NKW,2003
1nlc,46,1NLC,2003
1nta,40,1NTA,2003
1ntb,40,1NTB,2003
1nuj,96,1NUJ,2003
1nuv,96,1NUV,2003
1nwx,2884,1NWX,2003
1nwy,2884,1NWY,2003
1nyi,41,1NYI,2004
1o0b,75,1O0B,2003
1o0c,75,1O0C,2003
1o3z,46,1O3Z,2003
1o9m,42,1O9M,2003
1ob2,78,1OB2,2004
1ob5,231,1OB5,2005
1ond,2765,1OND,2003
1ooa,58,1OOA,2003
1osu,6,1OSU,1996
1p6v,69,1P6V,2003
1p79,5,1P79,2003
1p9x,2738,1P9X,2003
1pgl,6,1PGL,2003
1pjg,20,1PJG,2003
1pjo,20,1PJO,2003
1pvo,16,1PVO,2003
1q29,41,1Q29,2004
1q2r,42,1Q2R,2003
1q2s,40,1Q2S,2003
1q7y,2880,1Q7Y,2003
1q81,2879,1Q81,2003
1q82,2879,1Q82,2003
1q86,2882,1Q86,2003
1q93,81,1Q93,2003
1q96,81,1Q96,2003
1q9a,27,1Q9A,2003
1qa6,116,1QA6,1999
1qbp,84,1QBP,1999
1qc0,57,1QC0,1999
1qcu,44,1QCU,1999
1qf6,77,1QF6,1999
1qln,39,1QLN,2000
1qrs,75,1QRS,1996
1qrt,75,1QRT,1996
1qru,75,1QRU,1996
1qtq,75,1QTQ,1998
1qu2,75,1QU2,1999
1qu3,75,1QU3,1999
1qvf,2888,1QVF,2003
1qvg,2885,1QVG,2003
1r3e,51,1R3E,2003
1r3o,32,1R3O,2003
1r9f,38,1R9F,2004
1r9t,53,1R9T,2004
1rc7,40,1RC7,2004
1rlg,50,1RLG,2004
1rmv,3,1RMV,1997
1rna,28,1RNA,1991
1rpu,42,1RPU,2004
1rxa,8,1RXA,1996
1rxb,16,1RXB,1996
1s03,94,1S03,2004
1s0v,140,1S0V,2004
1s72,2876,1S72,2004
1s76,48,1S76,2004
1s77,48,1S77,2004
1sa9,40,1SA9,2004
1saq,40,1SAQ,2004
1sdr,48,1SDR,1995
1sds,45,1SDS,2004
1ser,64,1SER,1994
1si3,9,1SI3,2004
1sj3,73,1SJ3,2004
1sj4,73,1SJ4,2004
1sjf,74,1SJF,2004
1sm1,2884,1SM1,2004
1t0d,66,1T0D,2004
1t0e,35,1T0E,2004
1t0k,27,1T0K,2004
1tfw,78,1TFW,2004
1tfy,77,1TFY,2004
1tn2,76,1TN2,1986
1tra,76,1TRA,1986
1ttt,231,1TTT,1996
1u0b,74,1U0B,2004
1u1y,33,1U1Y,2004
1u63,98,1U63,2005
1u6b,222,1U6B,2004
1u8d,68,1U8D,2004
1u9s,155,1U9S,2004
1un6,122,1UN6,2003
1urn,55,1URN,1996
1utd,35,1UTD,2004
1utf,25,1UTF,2004
1utv,24,1UTV,2004
1uvi,12,1UVI,2004
1uvj,12,1UVJ,2004
1uvk,6,1UVK,2004
1uvl,15,1UVL,2004
1uvm,15,1UVM,2004
1uvn,18,1UVN,2004
1vbx,73,1VBX,2004
1vby,73,1VBY,2004
1vbz,73,1VBZ,2004
1vc0,73,1VC0,2004
1vc5,70,1VC5,2004
1vc6,72,1VC6,2004
1vc7,74,1VC7,2004
1vfg,67,1VFG,2004
1vq4,2882,1VQ4,2005
1vq5,2882,1VQ5,2005
1vq6,2881,1VQ6,2005
1vq7,2882,1VQ7,2005
1vq8,2879,1VQ8,2005
1vq9,2879,1VQ9,2005
1vqk,2879,1VQK,2005
1vql,2882,1VQL,2005
1vqm,2882,1VQM,2005
1vqn,2882,1VQN,2005
1vqo,2879,1VQO,2005
1vqp,2882,1VQP,2005
1vs5,1530,1VS5,2006
1vs6,2958,1VS6,2006
1vs7,1530,1VS7,2006
1vs8,2958,1VS8,2006
1vtm,3,1VTM,1994
1w2b,2876,1W2B,2004
1wmq,14,1WMQ,2005
1wne,13,1WNE,2004
1wpu,14,1WPU,2005
1wrq,14,1WRQ,2005
1wsu,65,1WSU,2005
1wvd,46,1WVD,2004
1wz2,176,1WZ2,2005
1x9c,61,1X9C,2005
1x9k,62,1X9K,2005
1xbp,2884,1XBP,2005
1xjr,47,1XJR,2005
1xmo,1521,1XMO,2004
1xmq,1522,1XMQ,2004
1xnq,1522,1XNQ,2004
1xnr,1522,1XNR,2004
1xok,36,1XOK,2005
1xp7,46,1XP7,2005
1xpe,46,1XPE,2005
1xpf,46,1XPF,2005
1xpo,18,1XPO,2005
1xpr,18,1XPR,2004
1xpu,18,1XPU,2004
1y26,72,1Y26,2004
1y27,69,1Y27,2004
1y39,116,1Y39,2005
1y3o,46,1Y3O,2005
